Designator,Mid X,Mid Y,Rotation,Layer
R41,122.25,-123.4,90.0,top
R42,122.05,-113.85,90.0,bottom
R43,143.6,-88.9,270.0,top
R44,144.9,-88.9,270.0,top
R45,157.1,-94.1,315.0,bottom
R46,163.2,-88.8,270.0,top
R47,113.4,-123.3,90.0,bottom
R48,113.4,-114.9,270.0,bottom
R49,122.2,-89.0,180.0,bottom
R5,100.2,-105.5,90.0,bottom
R50,122.2,-87.0,180.0,bottom
R51,131.2,-89.0,180.0,bottom
R52,131.2,-87.0,180.0,bottom
R53,172.8,-94.7,90.0,bottom
R54,172.8,-118.8,90.0,bottom
R55,96.7,-105.8,180.0,bottom
R56,96.7,-106.8,0.0,bottom
R57,139.25,-100.65,45.0,bottom
R58,131.2,-123.4,0.0,top
R6,107.0,-82.5,90.0,bottom
R7,105.5,-88.0,270.0,top
R8,104.5,-91.0,90.0,top
R9,104.8,-105.0,270.0,bottom
SW1,131.5,-109.5,0.0,top
SW2,131.5,-105.0,0.0,top
SW3,131.5,-100.5,0.0,top
U1,150.0,-105.0,315.0,top
U10,158.0,-125.5,0.0,top
U11,102.0,-116.0,180.0,top
U12,141.4125,-126.0,90.0,bottom
U13,130.9125,-126.0,90.0,bottom
U14,160.0,-90.5,180.0,bottom
U15,168.6,-94.0,0.0,top
U16,168.6,-116.0,0.0,top
U17,123.0,-99.5,0.0,bottom
U18,160.0,-89.6,180.0,top
U19,111.7,-119.8,180.0,bottom
U2,131.8,-105.0,270.0,bottom
U20,125.6,-87.0,180.0,bottom
U21,125.4,-116.1,180.0,bottom
U22,168.25,-105.05,90.0,top
U24,171.5,-105.0,270.0,bottom
U3,102.0,-90.0,0.0,bottom
U4,97.37,-102.2,0.0,bottom
U5,109.0,-87.5,180.0,top
U6,102.5,-106.0,90.0,bottom
U7,110.2,-106.0,180.0,bottom
U8,150.5,-125.5,90.0,top
U9,165.0,-123.8,90.0,top
Y1,141.5,-116.9,315.0,top
Y2,136.7,-111.3,315.0,top
